obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Bill Russell,Bob Cousy,George Mikan,Dolph Schayes,George Mikan,The others are Celtics,yes
Paul Arizin,Bob Pettit,Bill Sharman,Tom Gola,Bob Pettit,The others are guards,no
Harry Gallatin,Dick McGuire,Neil Johnston,Arnie Risen,Dick McGuire,The others are centers,no
Vern Mikkelsen,Larry Foust,Clyde Lovellette,Bob Pettit,Bob Pettit,The others are Lakers,no
Maurice Stokes,Jack Twyman,Richie Guerin,Slater Martin,Slater Martin,The others are teammates,no
Bill Sharman,Tom Heinsohn,Bob Cousy,Cliff Hagan,Cliff Hagan,The others are Celtics,no
Dolph Schayes,Paul Arizin,Larry Foust,Bob Cousy,Bob Cousy,The others are forwards,yes
George Yardley,Gene Shue,Tom Gola,Frank Ramsey,Frank Ramsey,The others are All-Stars,no
Bob Pettit,Harry Gallatin,Arnie Risen,Bob Cousy,Bob Cousy,The others are forwards,yes
Bill Russell,Tom Heinsohn,Bob Cousy,Larry Foust,Larry Foust,The others are Celtics,yes
Paul Arizin,Larry Foust,Neil Johnston,Bob Pettit,Bob Pettit,The others are Warriors,no
Jack Twyman,Maurice Stokes,Bob Cousy,Bob Pettit,Bob Cousy,The others are forwards,no
Bill Sharman,Bob Cousy,George Yardley,Tom Heinsohn,George Yardley,The others are Celtics,no
Paul Arizin,Dick McGuire,Dolph Schayes,Bob Cousy,Bob Cousy,The others are forwards,yes
Neil Johnston,Bob Pettit,Arnie Risen,Bill Sharman,Bill Sharman,The others are centers,no
Clyde Lovellette,Vern Mikkelsen,Larry Foust,Bob Cousy,Bob Cousy,The others are Lakers,no
Bill Russell,Bob Pettit,Paul Arizin,Tom Heinsohn,Bob Pettit,The others are Celtics,no
George Mikan,Harry Gallatin,Maurice Stokes,Bob Cousy,Bob Cousy,The others are forwards,no
Jack Twyman,Bob Cousy,Dick McGuire,Bob Pettit,Bob Pettit,The others are guards,no
George Yardley,Bill Sharman,Tom Heinsohn,Frank Ramsey,George Yardley,The others are Celtics,no
Larry Foust,Bob Cousy,Bob Pettit,Tom Gola,Bob Cousy,The others are forwards,no
Dolph Schayes,Paul Arizin,Bill Sharman,Jack Twyman,Paul Arizin,The others are guards,yes
Clyde Lovellette,Neil Johnston,Larry Foust,Bob Cousy,Bob Cousy,The others are centers,no
Bill Russell,Bob Cousy,Tom Heinsohn,Paul Arizin,Paul Arizin,The others are Celtics,no
George Mikan,Bob Pettit,Larry Foust,Bill Sharman,Bill Sharman,The others are forwards,no
Bob Cousy,Bill Russell,George Mikan,Wilt Chamberlain,Wilt Chamberlain,The others are Celtics players,no
Dolph Schayes,Paul Arizin,Neil Johnston,Bill Sharman,Bill Sharman,The others are 1950's All-Stars,yes
Bob Pettit,Ed Macauley,Larry Foust,Bob Cousy,Bob Cousy,The others are forwards,no
George Yardley,Clyde Lovellette,Larry Costello,Richie Guerin,Richie Guerin,The others are Hall of Famers,no
Dick McGuire,Harry Gallatin,Paul Seymour,Arnie Risen,Arnie Risen,The others are guards,no
Vern Mikkelsen,Jack Twyman,Tom Gola,Bill Russell,Bill Russell,The others are forwards,no
Kenny Sears,Maurice Stokes,Bob Pettit,Tom Heinsohn,Tom Heinsohn,The others are 1950's All-Stars,no
Slater Martin,Frank Ramsey,Bill Sharman,Cliff Hagan,Cliff Hagan,The others are guards,no
Bob Davies,Dick Garmaker,Carl Braun,George Mikan,George Mikan,The others are guards,no
Jack Coleman,Jim Pollard,Vern Mikkelsen,Tom Gola,Tom Gola,The others are forwards,no
Jim Loscutoff,Bill Sharman,Bob Cousy,Paul Arizin,Paul Arizin,The others are Celtics players,no
Larry Foust,Neil Johnston,Ed Macauley,Bob Pettit,Bob Pettit,The others are centers,no
Harry Gallatin,Andy Phillip,Bill Sharman,Bob Cousy,Harry Gallatin,The others are guards,no
Paul Seymour,Dick McGuire,Frank Ramsey,Dolph Schayes,Dolph Schayes,The others are guards,yes
Gene Shue,Cliff Hagan,Slater Martin,Jack Twyman,Jack Twyman,The others are guards,no
Kenny Sears,Tom Heinsohn,Bob Pettit,George Yardley,Kenny Sears,The others are Hall of Famers,no
Bob Davies,Paul Arizin,Neil Johnston,Bill Sharman,Neil Johnston,The others are guards,no
Dick Garmaker,Maurice Stokes,Larry Foust,Ed Macauley,Maurice Stokes,The others are centers,no
Carl Braun,Bob Pettit,Bill Sharman,Larry Costello,Bob Pettit,The others are guards,no
Gene Shue,Andy Phillip,Bob Cousy,Paul Seymour,Bob Cousy,The others are guards,no
Frank Ramsey,Bill Russell,Bob Cousy,George Yardley,George Yardley,The others are Celtics players,no
Clyde Lovellette,Larry Foust,Neil Johnston,Bob Davies,Bob Davies,The others are centers,no
Harry Gallatin,George Mikan,Paul Arizin,Carl Braun,Carl Braun,The others are Hall of Famers,no
Vern Mikkelsen,Tom Gola,Dolph Schayes,Bob Pettit,Vern Mikkelsen,The others are forwards,yes
Jim Pollard,Arnie Risen,Dick McGuire,Paul Seymour,Jim Pollard,The others are guards,no
Jack Coleman,Frank Ramsey,Bill Russell,Bob Cousy,Jack Coleman,The others are Celtics players,no
Larry Costello,Kenny Sears,Paul Arizin,Bill Sharman,Kenny Sears,The others are guards,no
Ed Macauley,Larry Foust,Neil Johnston,Bill Russell,Bill Russell,The others are centers,no
Maurice Stokes,George Yardley,Bob Pettit,Cliff Hagan,Cliff Hagan,The others are forwards,no
George Mikan,Dolph Schayes,Bob Pettit,Paul Arizin,Paul Arizin,The others are Hall of Famers,yes
Bill Sharman,Bob Cousy,Dick McGuire,George Yardley,George Yardley,The others are guards,no
Vern Mikkelsen,Neil Johnston,Ed Macauley,Bill Sharman,Bill Sharman,The others are forwards,no
Harry Gallatin,Slater Martin,Jim Pollard,Bob Cousy,Bob Cousy,The others are not MVP winners,no
Larry Foust,Clyde Lovellette,Paul Arizin,Carl Braun,Carl Braun,The others are centers,no
Bob Pettit,Bill Russell,Tom Heinsohn,Dick Garmaker,Dick Garmaker,The others are Celtics players,no
Richie Guerin,Cliff Hagan,Dolph Schayes,Arnie Risen,Arnie Risen,The others are 1950s All-Stars,yes
