obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Bill Russell,Dolph Schayes,Bob Cousy,George Mikan,George Mikan,The others are Celtics,yes
Bob Pettit,Bill Sharman,Tom Gola,Paul Arizin,Bob Pettit,The others are guards,no
Neil Johnston,Arnie Risen,Dick McGuire,Harry Gallatin,Dick McGuire,The others are centers,no
Clyde Lovellette,Larry Foust,Bob Pettit,Vern Mikkelsen,Bob Pettit,The others are Lakers,no
Richie Guerin,Maurice Stokes,Jack Twyman,Slater Martin,Slater Martin,The others are teammates,no
Tom Heinsohn,Bob Cousy,Cliff Hagan,Bill Sharman,Cliff Hagan,The others are Celtics,no
Dolph Schayes,Paul Arizin,Larry Foust,Bob Cousy,Bob Cousy,The others are forwards,yes
George Yardley,Gene Shue,Frank Ramsey,Tom Gola,Frank Ramsey,The others are All-Stars,no
Harry Gallatin,Arnie Risen,Bob Cousy,Bob Pettit,Bob Cousy,The others are forwards,yes
Tom Heinsohn,Bob Cousy,Larry Foust,Bill Russell,Larry Foust,The others are Celtics,yes
Neil Johnston,Larry Foust,Bob Pettit,Paul Arizin,Bob Pettit,The others are Warriors,no
Bob Cousy,Bob Pettit,Jack Twyman,Maurice Stokes,Bob Cousy,The others are forwards,no
Tom Heinsohn,Bob Cousy,George Yardley,Bill Sharman,George Yardley,The others are Celtics,no
Dolph Schayes,Bob Cousy,Dick McGuire,Paul Arizin,Bob Cousy,The others are forwards,yes
Arnie Risen,Neil Johnston,Bob Pettit,Bill Sharman,Bill Sharman,The others are centers,no
Vern Mikkelsen,Clyde Lovellette,Bob Cousy,Larry Foust,Bob Cousy,The others are Lakers,no
Bill Russell,Paul Arizin,Tom Heinsohn,Bob Pettit,Bob Pettit,The others are Celtics,no
Bob Cousy,George Mikan,Harry Gallatin,Maurice Stokes,Bob Cousy,The others are forwards,no
Bob Cousy,Jack Twyman,Bob Pettit,Dick McGuire,Bob Pettit,The others are guards,no
George Yardley,Tom Heinsohn,Frank Ramsey,Bill Sharman,George Yardley,The others are Celtics,no
Larry Foust,Tom Gola,Bob Cousy,Bob Pettit,Bob Cousy,The others are forwards,no
Bill Sharman,Dolph Schayes,Paul Arizin,Jack Twyman,Paul Arizin,The others are guards,yes
Clyde Lovellette,Larry Foust,Neil Johnston,Bob Cousy,Bob Cousy,The others are centers,no
Tom Heinsohn,Bill Russell,Bob Cousy,Paul Arizin,Paul Arizin,The others are Celtics,no
Bob Pettit,Bill Sharman,George Mikan,Larry Foust,Bill Sharman,The others are forwards,no
Bill Russell,George Mikan,Bob Cousy,Wilt Chamberlain,Wilt Chamberlain,The others are Celtics players,no
Neil Johnston,Dolph Schayes,Paul Arizin,Bill Sharman,Bill Sharman,The others are 1950's All-Stars,yes
Larry Foust,Ed Macauley,Bob Cousy,Bob Pettit,Bob Cousy,The others are forwards,no
