obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
Frank Baker,Christy Mathewson,Eddie Collins,Home Run Baker,Christy Mathewson,The others are infielders,
Sam Crawford,Cy Young,Harry Heilmann,Ty Cobb,Cy Young,The others are outfielders,
Eddie Collins,Red Faber,Walter Johnson,Bob Feller,Red Faber,The others are pitchers,
Nap Lajoie,Tris Speaker,Eddie Collins,Mordecai Brown,Mordecai Brown,The others are second basemen,
Ty Cobb,Cy Young,Sam Crawford,Hughie Jennings,Cy Young,The others are managers,
Home Run Baker,Frank Baker,John McGinnity,Eddie Collins,John McGinnity,The others are third basemen,
Jack Coombs,Nap Lajoie,Chief Bender,Eddie Plank,Nap Lajoie,The others are Philadelphia Athletics players,
Joe McGinnity,Red Ames,Christy Mathewson,Honus Wagner,Honus Wagner,The others are New York Giants players,
Walter Johnson,Cy Young,Ty Cobb,Bob Feller,Walter Johnson,The others are pitchers,
Eddie Collins,Red Faber,Eddie Cicotte,Earl Cicotte,Eddie Collins,The others are Chicago White Sox players,
Mordecai Brown,Grover Cleveland Alexander,Hughie Jennings,John McGinnity,Grover Cleveland Alexander,The others are pitchers,
Harry Heilmann,Ty Cobb,Sam Crawford,Eddie Plank,Eddie Plank,The others are Detroit Tigers players,
Ty Cobb,Christy Mathewson,Tris Speaker,Sam Crawford,Christy Mathewson,The others are center fielders,
Frank Baker,Home Run Baker,Eddie Collins,Grover Cleveland Alexander,Grover Cleveland Alexander,The others are Philadelphia Athletics players,
Red Faber,Walter Johnson,Nap Lajoie,Bob Feller,Red Faber,The others are pitchers,
Honus Wagner,Cy Young,Ty Cobb,Eddie Collins,Cy Young,The others are infielders,
Shoeless Joe Jackson,Eddie Plank,Ty Cobb,Joe Jackson,Ty Cobb,The others are outfielders,
Eddie Cicotte,Christy Mathewson,Earl Cicotte,Red Faber,Christy Mathewson,The others are pitchers,
Sam Crawford,Mordecai Brown,Harry Heilmann,Ty Cobb,Mordecai Brown,The others are Detroit Tigers players,
Christy Mathewson,Joe McGinnity,Red Ames,Eddie Collins,Eddie Collins,The others are New York Giants players,
Sam Crawford,Ty Cobb,Eddie Cicotte,Tris Speaker,Eddie Cicotte,The others are center fielders,
Eddie Plank,Mordecai Brown,John McGinnity,Grover Cleveland Alexander,Eddie Plank,The others are pitchers,
Walter Johnson,Frank Baker,Eddie Collins,Home Run Baker,Walter Johnson,The others are infielders,
Bob Feller,Eddie Collins,Tris Speaker,Nap Lajoie,Bob Feller,The others are second basemen,
Red Faber,Eddie Cicotte,Earl Cicotte,Honus Wagner,Honus Wagner,The others are pitchers,
