obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
obj_2,obj_4,obj_1,obj_3,odd,reason_for_similarity,no
-------------,-------------,-------------,-------------,-----------,--------------------------------,no
Wheat,Barley,Rice,Rye,Rice,The others are cereals,yes
Potato,Eggplant,Carrot,Tomato,Carrot,The others are nightshades,no
Lemon,Grapefruit,Apple,Orange,Apple,The others are citrus fruits,yes
Maize,Sorghum,Millet,Oats,Oats,The others are grains,no
Broccoli,Spinach,Cauliflower,Cabbage,Spinach,The others are brassicas,yes
Soybean,Lentil,Chickpea,Peanut,Peanut,The others are legumes,yes
Banana,Mango,Papaya,Pineapple,Banana,The others are tropical fruits,no
Turnip,Garlic,Onion,Leek,Turnip,The others are alliums,yes
Sugarcane,Hemp,Flax,Cotton,Sugarcane,The others are fiber crops,yes
Pomegranate,Fig,Date,Grape,Grape,The others are Mediterranean fruits,no
Walnut,Cashew,Almond,Sunflower,Sunflower,The others are tree nuts,no
Raspberry,Strawberry,Blueberry,Kiwi,Kiwi,The others are berries,yes
Vanilla,Tea,Cocoa,Coffee,Vanilla,The others are beverages crops,no
Kale,Radish,Spinach,Lettuce,Radish,The others are leafy greens,yes
Olive,Avocado,Coconut,Pistachio,Pistachio,The others are drupes,no
Radish,Parsnip,Carrot,Beet,Beet,The others are root vegetables,yes
Pumpkin,Squash,Cucumber,Watermelon,Watermelon,The others are gourds,yes
Chickpea,Lentil,Soybean,Pea,Soybean,The others are pulses,no
Blackberry,Raspberry,Cranberry,Mulberry,Cranberry,The others are caneberries,no
Ginger,Vanilla,Clove,Saffron,Ginger,The others are spices,yes
Barley,Quinoa,Rice,Wheat,Quinoa,The others are grasses,yes
Sweet Potato,Yam,Carrot,Potato,Carrot,The others are tubers,no
Peach,Plum,Apricot,Apple,Apple,The others are stone fruits,yes
Sesame,Chia,Flax,Hemp,Sesame,The others are seeds,no
Cucumber,Squash,Zucchini,Melon,Melon,The others are cucurbits,yes
Basil,Spinach,Thyme,Oregano,Spinach,The others are herbs,yes
,,,I hope you find this helpful for your game development!,,,no
