"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"-------------","-------------","-------------","-------------","-----------","--------------------------------"
"Wheat","Barley","Rye","Rice","Rice","The others are cereals"
"Tomato","Potato","Eggplant","Carrot","Carrot","The others are nightshades"
"Apple","Orange","Lemon","Grapefruit","Apple","The others are citrus fruits"
"Maize","Sorghum","Millet","Oats","Oats","The others are grains"
"Cabbage","Broccoli","Cauliflower","Spinach","Spinach","The others are brassicas"
"Soybean","Lentil","Chickpea","Peanut","Peanut","The others are legumes"
"Pineapple","Mango","Papaya","Banana","Banana","The others are tropical fruits"
"Onion","Garlic","Leek","Turnip","Turnip","The others are alliums"
"Sugarcane","Cotton","Flax","Hemp","Sugarcane","The others are fiber crops"
"Pea","Green Bean","Lima Bean","Sweetcorn","Sweetcorn","The others are legumes"
"Pomegranate","Fig","Date","Grape","Grape","The others are Mediterranean fruits"
"Almond","Walnut","Cashew","Sunflower","Sunflower","The others are tree nuts"
"Strawberry","Raspberry","Blueberry","Kiwi","Kiwi","The others are berries"
"Coffee","Tea","Cocoa","Vanilla","Vanilla","The others are beverages crops"
"Lettuce","Kale","Spinach","Radish","Radish","The others are leafy greens"
"Avocado","Olive","Coconut","Pistachio","Pistachio","The others are drupes"
"Carrot","Parsnip","Beet","Radish","Beet","The others are root vegetables"
"Watermelon","Cucumber","Pumpkin","Squash","Watermelon","The others are gourds"
"Pea","Lentil","Chickpea","Soybean","Soybean","The others are pulses"
"Blackberry","Raspberry","Mulberry","Cranberry","Cranberry","The others are caneberries"
"Vanilla","Saffron","Clove","Ginger","Ginger","The others are spices"
"Rice","Wheat","Barley","Quinoa","Quinoa","The others are grasses"
"Coconut","Almond","Cashew","Brazil Nut","Coconut","The others are tree nuts"
"Papaya","Mango","Guava","Pineapple","Pineapple","The others are tropical fruits"
"Potato","Sweet Potato","Yam","Carrot","Carrot","The others are tubers"
"Peach","Plum","Apricot","Apple","Apple","The others are stone fruits"
"Chia","Flax","Hemp","Sesame","Sesame","The others are seeds"
"Durian","Mango","Jackfruit","Lychee","Lychee","The others are tropical fruits"
"Cucumber","Zucchini","Squash","Melon","Melon","The others are cucurbits"
"Basil","Oregano","Thyme","Spinach","Spinach","The others are herbs"
"I hope you find this helpful for your game development!",,,,,
