obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity,valid
3/4,0.75,2/3,1/2,0.75,The others are in fraction form,
1/3,1/4,2/3,1/2,2/3,The others are unit fractions,
4/5,1/2,2/3,3/4,1/2,The others have a difference of 1 between the numerator and denominator,
1/3,1/4,2/3,1/2,2/3,The others are unit fractions,
1/2,1/3,2/3,3/4,1/3,The others have numerator less than denominator,
4,1/2,2/3,3/4,4,The others are fractions less than 1,
5/6,3/4,2/3,4/5,2/3,The others have numerators and denominators that differ by 1,
1/2,4/5,2/3,3/4,4/5,The others have numerators and denominators that are consecutive integers,
3/4,1/2,2/3,4/5,4/5,The others are fractions where the numerator is one less than the denominator,
0.6,3/5,2/4,1/3,0.6,The others are in fraction form,
1/3,1/2,2/4,3/6,1/3,The others are equivalent fractions,
1/3,3/6,2/4,1/2,1/3,The others are equivalent to 0.5,
1/3,4/16,2/6,3/9,4/16,The others are equivalent to 0.33,
3/12,1/4,2/8,4/16,4/16,The others are equivalent to 1/4,
4/5,2/3,3/4,1/2,1/2,The others have a difference of 1 between the numerator and denominator,
1/3,2/3,3/4,1/2,3/4,The others are fractions less than 1/2,
2/3,2/2,3/4,4/5,2/2,The others are not in simplest form,
1/2^2,1/2,3/4,2/3,1/2^2,The others are proper fractions,
2/3,7,3/4,5/6,7,The others are fractions,
5/6,2/3,3/4,1/2,5/6,The others are less than 1,
1/2,4/8,3/6,2/4,4/8,The others are fractions equivalent to 1/2,
1/2,2/4,3/6,4/7,4/7,The others are operations resulting in 0.5,
4/16,1/4,3/12,2/8,4/16,The others are equivalent fractions to 1/4,
2/8,1/4,3/12,4/16,4/16,The others are equivalent to 1/4,
1/5,4/20,3/15,2/10,4/20,The others are equivalent fractions to 1/5,
1+1,2+2,4-4,3+3,4-4,The others are addition problems,
2/3,3/4,4/5,1/2,1/2,The others have a difference of 1 between the numerator and denominator,
2/3,3/4,4/5,1/2,1/2,The others are fractions in simplest form,
1+2,2+3,4-5,3+4,4-5,The others are addition problems,
8/10,2/3,4/6,6/9,8/10,The others are equivalent to 2/3,
1/3,3/9,4/8,2/6,4/8,The others are equivalent fractions to 1/3,
2/6,1/3,4/8,3/9,4/8,The others are equivalent to 1/3,
1/3,2/6,4/12,3/9,1/3,The others are operations resulting in 0.33,
3/18,2/12,4/24,1/6,4/24,The others are equivalent fractions to 1/6,
3*2,2+2,5-1,4/2,4/2,The others are operations resulting in 4,
8-2,6-4,5-3,7-5,8-2,The others have a difference of 2,
8/1,2*4,8-1,5+3,8-1,The others give the result 8,
7/2,10/5,8/4,6/2,7/2,The others are operations resulting in 3,
1/2 (Fraction),1 (Natural Number),-1 (Integer),0 (Whole Number),1/2,The others are types of numbers,
y = x^3,y = mx + c,(x-h)^2 + (y-k)^2 = r^2,x^2 + y^2 = r^2,y = x^3,The others are equations of lines or circles,
4^2,16^2,√16,16^1,16^2,The others equal 16,
2^3,√3,√2,√5,2^3,The others are square roots,
√9,√16,√4,√5,√5,The others result in an integer,
√2,√3,√4,√5,√4,The others are irrational numbers,
√5,√16,√4,√9,√5,The others are perfect squares,
√4,√3,√5,√2,√4,The others are irrational numbers,
1/5*50,50% of 20,0.2*50,20% of 50,50% of 20,The others equal 10,
5^0,0^5,0^0,5^5,5^5,The others equal 1,
5^5,5^0,0^5,0^0,5^5,The others equal 1,
1/2 (Rational Number),0 (Whole Number),1 (Natural Number),-1 (Integer),1/2,The others are types of numbers,
123 (Number with three different digits),11 (Number with two equal digits),1 (Number with one digit),111 (Number with three equal digits),123,The others have all equal digits,
2 + 3 + 5 + 7,3 + 6 + 9 + 12,1 + 2 + 3 + 4,2 + 4 + 6 + 8,2 + 3 + 5 + 7,The others are sums of arithmetic sequences,
1 yard,1 meter,1 foot,1 inch,1 meter,The others are Imperial units,
1 km,1000 mm,1 m,100 cm,1 km,The others equal 1 meter,
1000 millimeters,1 kilometer,1 meter,100 centimeters,1 kilometer,The others are equivalent to 1 meter,
90 degrees,180 degrees,1 radian,π/2 radians,90 degrees,The others are measured in radians,
"1, 3, 9, 27","1, 2, 4, 8","1, 8, 27, 64","1, 4, 9, 16","1, 2, 4, 8",The others are sequences of perfect powers,
0.5,√2/2,1/√2,0.707,0.5,The others are equal to 1/√2,
0.707,0.5,1/√2,√2/2,0.5,The others equal 1/√2,
0.1 * 50,10% of 50,1/10 * 50,20% of 50,20% of 50,The others are different ways to calculate 10%,
3/4 (Fraction),0.8 (Decimal),1/2 (Fraction),2/3 (Fraction),0.8,The others are fractions,
