"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"2","4","8","10","10","The others are powers of 2"
"7","14","28","36","36","The others are multiples of 7"
"1","3","5","6","6","The others are odd numbers"
"12","24","48","60","60","The others are multiples of 12"
"5","10","20","30","30","The others are multiples of 5"
"11","22","44","55","55","The others are multiples of 11"
"9","18","36","45","45","The others are multiples of 9"
"13","26","52","65","65","The others are multiples of 13"
"6","12","24","30","30","The others are multiples of 6"
"15","30","60","75","75","The others are multiples of 15"
"16","32","64","80","80","The others are multiples of 16"
"17","34","68","85","85","The others are multiples of 17"
"19","38","76","95","95","The others are multiples of 19"
"21","42","84","105","105","The others are multiples of 21"
"23","46","92","115","115","The others are multiples of 23"
"25","50","100","125","125","The others are multiples of 25"
"27","54","108","135","135","The others are multiples of 27"
"29","58","116","145","145","The others are multiples of 29"
"31","62","124","155","155","The others are multiples of 31"
"33","66","132","165","165","The others are multiples of 33"
"35","70","140","175","175","The others are multiples of 35"
"37","74","148","185","185","The others are multiples of 37"
"39","78","156","195","195","The others are multiples of 39"
"41","82","164","205","205","The others are multiples of 41"
"43","86","172","215","215","The others are multiples of 43"
"45","90","180","225","225","The others are multiples of 45"
"47","94","188","235","235","The others are multiples of 47"
"49","98","196","245","245","The others are multiples of 49"
"51","102","204","255","255","The others are multiples of 51"
"53","106","212","265","265","The others are multiples of 53"
"55","110","220","275","275","The others are multiples of 55"
"57","114","228","285","285","The others are multiples of 57"
"59","118","236","295","295","The others are multiples of 59"
"61","122","244","305","305","The others are multiples of 61"
"63","126","252","315","315","The others are multiples of 63"
"65","130","260","325","325","The others are multiples of 65"
"67","134","268","335","335","The others are multiples of 67"
"69","138","276","345","345","The others are multiples of 69"
"71","142","284","355","355","The others are multiples of 71"
"73","146","292","365","365","The others are multiples of 73"
"75","150","300","375","375","The others are multiples of 75"
"77","154","308","385","385","The others are multiples of 77"
"79","158","316","395","395","The others are multiples of 79"
"81","162","324","405","405","The others are multiples of 81"
"83","166","332","415","415","The others are multiples of 83"
"85","170","340","425","425","The others are multiples of 85"
"87","174","348","435","435","The others are multiples of 87"
"89","178","356","445","445","The others are multiples of 89"
"91","182","364","455","455","The others are multiples of 91"
"93","186","372","465","465","The others are multiples of 93"
"95","190","380","475","475","The others are multiples of 95"
"97","194","388","485","485","The others are multiples of 97"
"99","198","396","495","495","The others are multiples of 99"
"101","202","404","505","505","The others are multiples of 101"
"103","206","412","515","515","The others are multiples of 103"
"105","210","420","525","525","The others are multiples of 105"
"107","214","428","535","535","The others are multiples of 107"
"109","218","436","545","545","The others are multiples of 109"
"111","222","444","555","555","The others are multiples of 111"
"113","226","452","565","565","The others are multiples of 113"
"115","230","460","575","575","The others are multiples of 115"
"117","234","468","585","585","The others are multiples of 117"
"119","238","476","595","595","The others are multiples of 119"
"121","242","484","605","605","The others are multiples of 121"
"123","246","492","615","615","The others are multiples of 123"
"125","250","500","625","625","The others are multiples of 125"
"127","254","508","635","635","The others are multiples of 127"
"129","258","516","645","645","The others are multiples of 129"
"131","262","524","655","655","The others are multiples of 131"
"133","266","532","665","665","The others are multiples of 133"
"135","270","540","675","675","The others are multiples of 135"
"137","274","548","685","685","The others are multiples of 137"
"139","278","556","695","695","The others are multiples of 139"
"141","282","564","705","705","The others are multiples of 141"
"143","286","572","715","715","The others are multiples of 143"
"145","290","580","725","725","The others are multiples of 145"
"147","294","588","735","735","The others are multiples of 147"
"149","298","596","745","745","The others are multiples of 149"
"151","302","604","755","755","The others are multiples of 151"
"153","306","612","765","765","The others are multiples of 153"
"155","310","620","775","775","The others are multiples of 155"
"157","314","628","785","785","The others are multiples of 157"
"159","318","636","795","795","The others are multiples of 159"
"161","322","644","805","805","The others are multiples of 161"
"163","326","652","815","815","The others are multiples of 163"
"165","330","660","825","825","The others are multiples of 165"
"167","334","668","835","835","The others are multiples of 167"
"169","338","676","845","845","The others are multiples of 169"
"171","342","684","855","855","The others are multiples of 171"
"173","346","692","865","865","The others are multiples of 173"
"175","350","700","875","875","The others are multiples of 175"
"177","354","708","885","885","The others are multiples of 177"
"179","358","716","895","895","The others are multiples of 179"
"181","362","724","905","905","The others are multiples of 181"
"183","366","732","915","915","The others are multiples of 183"
"185","370","740","925","925","The others are multiples of 185"
"187","374","748","935","935","The others are multiples of 187"
"189","378","756","945","945","The others are multiples of 189"
"191","382","764","955","955","The others are multiples of 191"
"193","386","772","965","965","The others are multiples of 193"
"195","390","780","975","975","The others are multiples of 195"
"197","394","788","985","985","The others are multiples of 197"
"199","398","796","995","995","The others are multiples of 199"
"201","402","804","1005","1005","The others are multiples of 201"
"The Roman Empire","The Ottoman Empire","The British Empire","The United States","The United States","The others are empires"
"World War I","World War II","The Korean War","The French Revolution","The French Revolution","The others are World Wars"
"Napoleon Bonaparte","Julius Caesar","Genghis Khan","Thomas Jefferson","Thomas Jefferson","The others are conquerors"
"The Great Wall of China","The Pyramids of Giza","The Colosseum","The Eiffel Tower","The Eiffel Tower","The others are ancient structures"
"The Cold War","The Vietnam War","The Korean War","The Gulf War","The Cold War","The others are hot wars"
"The Crusades","The Hundred Years' War","The War of the Roses","The American Revolution","The American Revolution","The others are European conflicts"
"The Magna Carta","The US Constitution","The Declaration of Independence","The Treaty of Versailles","The Treaty of Versailles","The others are foundational documents"
"The Renaissance","The Enlightenment","The Industrial Revolution","The Age of Discovery","The Industrial Revolution","The others are cultural movements"
"The Silk Road","The Trans-Siberian Railway","The Panama Canal","The Suez Canal","The Trans-Siberian Railway","The others are waterways"
"The Berlin Wall","The Iron Curtain","The Great Wall of China","The DMZ","The DMZ","The others are European barriers"
"The Ming Dynasty","The Qing Dynasty","The Han Dynasty","The Roman Empire","The Roman Empire","The others are Chinese dynasties"
"Christopher Columbus","Vasco da Gama","Ferdinand Magellan","Marco Polo","Marco Polo","The others are sea explorers"
"The French Revolution","The American Revolution","The Russian Revolution","The Industrial Revolution","The Industrial Revolution","The others are political revolutions"
"The Gutenberg Press","The compass","The steam engine","The Internet","The Internet","The others are pre-20th century inventions"
"The Treaty of Tordesillas","The Treaty of Westphalia","The Treaty of Versailles","The Declaration of Independence","The Declaration of Independence","The others are treaties"
"The Spanish Inquisition","The Salem Witch Trials","The McCarthy Hearings","The Nuremberg Trials","The Nuremberg Trials","The others are persecutions"
"The Black Death","The Spanish Flu","The Bubonic Plague","The Great Depression","The Great Depression","The others are diseases"
"The Battle of Waterloo","The Battle of Hastings","The Battle of Gettysburg","The Battle of the Bulge","The Battle of the Bulge","The others are decisive battles"
"The Mayans","The Aztecs","The Incas","The Egyptians","The Egyptians","The others are pre-Columbian civilizations"
"The Vikings","The Mongols","The Huns","The Spartans","The Spartans","The others are nomadic invaders"
"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"---","---","---","---","---","---"
"The Starry Night","The Scream","The Persistence of Memory","The Birth of Venus","The Birth of Venus","The others are painted by post-impressionist artists"
"Mona Lisa","Girl with a Pearl Earring","The Last Supper","Guernica","Guernica","The others are from the Renaissance period"
"The Night Watch","The Anatomy Lesson of Dr. Nicolaes Tulp","Self-Portrait","The Girl with a Wine Glass","The Girl with a Wine Glass","The others are by Rembrandt"
"The Arnolfini Portrait","The Birth of Venus","The Ambassadors","The Last Supper","The Arnolfini Portrait","The others are Italian Renaissance paintings"
"The Scream","Starry Night Over the Rhone","The Persistence of Memory","The Kiss","The Kiss","The others are expressions of mental anguish"
"The Milkmaid","The Girl with a Pearl Earring","The Night Watch","The Birth of Venus","The Night Watch","The others are Dutch Golden Age paintings"
"The Last Supper","Vitruvian Man","Mona Lisa","The Night Watch","The Night Watch","The others are by Leonardo da Vinci"
"The Birth of Venus","Primavera","Venus and Mars","Guernica","Guernica","The others are by Botticelli"
"Guernica","Les Demoiselles d'Avignon","The Weeping Woman","The Starry Night","The Starry Night","The others are by Pablo Picasso"
"The Hay Wain","The Fighting Temeraire","The Night Watch","The Arnolfini Portrait","The Night Watch","The others are by British artists"
"The Persistence of Memory","The Elephants","Swans Reflecting Elephants","The Scream","The Scream","The others are by Salvador Dali"
"The Birth of Venus","The Last Supper","The School of Athens","The Night Watch","The Night Watch","The others are Italian Renaissance paintings"
"The Scream","The Starry Night","The Persistence of Memory","The Milkmaid","The Milkmaid","The others are expressions of mental anguish"
"The Last Supper","Mona Lisa","Vitruvian Man","The Night Watch","The Night Watch","The others are by Leonardo da Vinci"
"The Arnolfini Portrait","The Birth of Venus","The Ambassadors","The Last Supper","The Arnolfini Portrait","The others are Italian Renaissance paintings"
"The Scream","Starry Night Over the Rhone","The Persistence of Memory","The Kiss","The Kiss","The others are expressions of mental anguish"
"The Milkmaid","The Girl with a Pearl Earring","The Night Watch","The Birth of Venus","The Night Watch","The others are Dutch Golden Age paintings"
"The Last Supper","Vitruvian Man","Mona Lisa","The Night Watch","The Night Watch","The others are by Leonardo da Vinci"
"The Birth of Venus","Primavera","Venus and Mars","Guernica","Guernica","The others are by Botticelli"
"Guernica","Les Demoiselles d'Avignon","The Weeping Woman","The Starry Night","The Starry Night","The others are by Pablo Picasso"
"The Hay Wain","The Fighting Temeraire","The Night Watch","The Arnolfini Portrait","The Night Watch","The others are by British artists"
"The Persistence of Memory","The Elephants","Swans Reflecting Elephants","The Scream","The Scream","The others are by Salvador Dali"
"The Birth of Venus","The Last Supper","The School of Athens","The Night Watch","The Night Watch","The others are Italian Renaissance paintings"
"The Scream","The Starry Night","The Persistence of Memory","The Milkmaid","The Milkmaid","The others are expressions of mental anguish"
"The Last Supper","Mona Lisa","Vitruvian Man","The Night Watch","The Night Watch","The others are by Leonardo da Vinci"
"The Arnolfini Portrait","The Birth of Venus","The Ambassadors","The Last Supper","The Arnolfini Portrait","The others are Italian Renaissance paintings"
"The Scream","Starry Night Over the Rhone","The Persistence of Memory","The Kiss","The Kiss","The others are expressions of mental anguish"
