Luke Skywalker,Anakin Skywalker,Han Solo
Chandler Bing,Janice Litman,Monica Geller
Thrush,Blackbird,Albatross
The Terracotta Army,The Colossus of Rhodes,The Statue of Zeus at Olympia
Appomattox Court House,Ford's Theatre,Buckingham Palace
Dr. Hibbert,Dr. Nick,Moe Szyslak
WWI,WWII,Cold War
Pope Urban II,Pope John Paul II,Charles Darwin
Killer Frost,Cheetah,The Atom
The Illustrious Client,The Blanched Soldier,The Mazarin Stone
Ancient Rome,Ancient Greece,Ancient China
Dadaism,Surrealism,Industrial Revolution
Catcher's Mitt,First Baseman's Mitt,Baseball
Saladin,Richard the Lionheart,Karl Marx
Mexican Cuisine,Thai Cuisine,Indian Cuisine
The Potala Palace,The Forbidden City,The Grand Canyon
Stephen Hawking,Albert Einstein,Carl Sagan
Static Electricity,Current Electricity,Magnetic Field
Lithium,Sodium,Beryllium
Marc Antony,Lepidus,Hannibal
Lake Victoria,Lake Tanganyika,Lake Superior
Public Sector,Private Sector,Tertiary Sector
Cartouche,Hieroglyphics,Sphinx
Captain America,Bucky Barnes,Iron Man
Atlantic Ocean,Bering Sea,Southern Ocean
Michelangelo,Raphael,Botticelli
Deanna Troi,Beverly Crusher,Worf
Selective Attention,Divided Attention,Defense Mechanisms
Orange Juice,Apple Juice,Milk
Insect,Bird,Fish
Rue du Faubourg Saint-Honoré,Avenue des Champs-Élysées,Beale Street
Annunciation,Adoration of the Magi,The Girl with a Pearl Earring
Air Mass,Front,Jet Stream
The Mirror of Galadriel,The Light of Earendil,The Horn of Gondor
Hurricanes,Lightning,Blues
Neville Chamberlain,Winston Churchill,Margaret Thatcher
Coq au Vin,Beef Bourguignon,Souvlaki
The Petronas Towers,The Twin Towers,The Colosseum
Polyjuice Potion,Veritaserum,Felix Felicis
Atlantic Ocean,Black Sea,Arctic Ocean
Cathy,Blondie,Dilbert
Fred Flintstone,Barney Rubble,Elmer Fudd
Liszt,Tchaikovsky,Mozart
Lord of the Flies,The Catcher in the Rye,Pride and Prejudice
The Sydney Harbour Bridge,The Sydney Opera House,The Eiffel Tower
The Creation of Adam,The Last Judgement,The Persistence of Memory
Treaty of Versailles,Treaty of Brest-Litovsk,Treaty of Tordesillas
Alps,Andes,Ural
The Golden Gate Bridge,The Brooklyn Bridge,The Sagrada Familia
Constitution,Bill of Rights,Declaration of Independence
Piet Mondrian,Kazimir Malevich,Henri Matisse
Atlas,Great Dividing,Carpathian
David by Michelangelo,The Thinker by Rodin,The Little Mermaid
Borneo,Sumatra,Java
Snow,Hail,Rain
Self-Actualization,Cognitive Therapy,Client-Centered Therapy
Death Star,Starkiller Base,Mandalorian
Emma Watson,Daniel Radcliffe,Rupert Grint
DNA,RNA,Protein
Flamingo,Swan,Eagle
Detroit Pistons,Miami Heat,LA Lakers
Boxing,Savate,Jiu Jitsu
Andes,Sierra Nevada,Himalayas
Louis XIV,Henry VIII,George Washington
Rocky Mountains,Andes,Gobi Desert
Maurya Empire,Gupta Empire,Roman Empire
16th Street Baptist Church bombing,Mississippi Burning,Watergate Scandal
Gladiator,Legionnaire,Knight
Paris,Madrid,Dublin
Charlie Trotter,Wolfgang Puck,Alain Passard
David Chang,Roy Choi,Lidia Bastianich
Ross Geller,Monica Geller,Janice Litman
Psychoanalysis,Defense Mechanisms,Observational Learning
Baseball Field,Baseball Diamond,Baseball Cap
Phoenix Suns,Sacramento Kings,Utah Jazz
Socrates,Plato,Albert Einstein
Alps,Himalayas,Amazon River
Martian Manhunter,Hawkgirl,The Penguin
Barometer,Thermometer,Anemometer
Ancient Sumer,Ancient Babylon,Ancient Egypt
Tanks,Submarines,Fighter Jets
Golden Snitch,Quaffle,Bludger
Q,Guinan,Wesley Crusher
Gestalt Therapy,Rational Emotive Behavior Therapy,Humanistic Psychology
The One Ring,The Ring of Barahir,Sting
Gray Matter Technologies,A1A Car Wash,Los Pollos Hermanos
Civil Constitution of the Clergy,Concordat of 1801,Edict of Nantes
JMW Turner,John Constable,James Whistler
Rascal Flatts,Lady A,Maroon 5
