Roman Law,Twelve Tables,Code of Hammurabi
Karnak Temple,Luxor Temple,Ptolemy
R.E.M.,The Pixies,The Eagles
Carl Sagan,Neil deGrasse Tyson,Richard Dawkins
Pulsar,Quasar,Black Hole
New York Knicks,Brooklyn Nets,LA Clippers
Korean War,Vietnam War,Prague Spring
Freestyle Motocross,BMX,Hang Gliding
The Sopranos,Mad Men,Parks and Recreation
Petrarch,Dante,Shakespeare
Paul Samuelson,John Nash,Albert Camus
Canary,Nightingale,Vulture
Vesta,Vestal Virgins,Amazon Warriors
Albert Szent-Gyorgyi,Linus Pauling,Martin Luther King Jr.
Sons of Liberty,Daughters of Liberty,Jacobins
Sahara Desert,Atacama Desert,Lake Baikal
Chris Hemsworth,Tom Hiddleston,Chris Evans
The One,The Chosen One,The Many
Fleetwood Mac,Eagles,Shawn Mendes
Starfire,Martian Manhunter,Black Panther
James Watson,Francis Crick,Richard Feynman
Salo (Pork Fat),Lardo,Jamón ibérico
Taekwondo,Karate,Brazilian Jiu Jitsu
Southern Ocean,Coral Sea,Indian Ocean
Great White Shark,Hammerhead Shark,Dolphin
Cardamom,Clove,Oregano
Via del Corso,Via Veneto,Sunset Strip
Colosseum,Pantheon,Eiffel Tower
Luke Bryan,Jason Aldean,Shawn Mendes
Huntress,Black Lightning,Killer Croc
Humanism,Individualism,Feudalism
Wuthering Heights,Pride and Prejudice,The Great Gatsby
Hogwarts,Beauxbatons,Durmstrang
Natalie Portman,Mila Kunis,Keira Knightley
Surströmming (Fermented Fish),Lutefisk,Vegemite
Cairo,Pretoria,Athens
Juniper,Cypress,Maple
New York Jets,New England Patriots,Green Bay Packers
Roman numerals,Latin alphabet,Cyrillic alphabet
Tuvok,Spock,Scotty
The Bayeux Tapestry,The Shroud of Turin,The Elgin Marbles
Repression,Projection,Unconditioned Response
Enterprise-D,Enterprise-E,Voyager
Baker Street,Abbey Road,Lombard Street
Toni Morrison,Maya Angelou,Margaret Atwood
Gutenberg,Caxton,Tesla
Trinity,Oracle,Niobe
Isobar,Isotherm,Anemometer
Nebbiolo (Italy),Sangiovese (Italy),Nebbiolo (California)
Thyroid,Parathyroid,Pituitary
Woodrow Wilson,Georges Clemenceau,Winston Churchill
Gustave Courbet,Jean-Francois Millet,Edouard Manet
Storm,Jean Grey,Robin
American League,National League,Baseball Bat
Tennessee Titans,Houston Texans,Arizona Cardinals
Buffalo Bills,Detroit Lions,Cleveland Browns
Chianti (Italy),Barolo (Italy),Chianti (California)
Ahsoka Tano,Ezra Bridger,Finn
Pompeii,Herculaneum,Athens
Grüner Veltliner (Austria),Zweigelt (Austria),Grüner Veltliner (California)
Malbec (Argentina),Torrontés (Argentina),Malbec (France)
The Prince by Machiavelli,The Courtier by Castiglione,The Canterbury Tales by Chaucer
Ted Beneke,Skyler White,Marie Schrader
Thar,Patagonian,Kalahari
Steam Locomotive,Steam Engine,Sewing Machine
NAACP,SNCC,NASA
Newton's First Law,Newton's Second Law,Ohm's Law
Kang,Kodos,Bart Simpson
Beast,Wolverine,Spider-Woman
Pop Art,Op Art,Industrial Revolution
Ankylosaurus,Spinosaurus,Woolly mammoth tusk
Angkor Wat,Borobudur,Machu Picchu
Voting Rights Act of 1965,Fair Housing Act of 1968,Gulf of Tonkin Resolution
Perspective,Proportion,Cubism
Pizza Napoletana,Spaghetti Bolognese,Tempura
Hiroshima,Nagasaki,Berlin
The Scream,The Last Supper,Guernica
Ivy,Poison Ivy,Sunflower
The League of Nations,The United Nations,The Red Cross
Placebo Effect,Hawthorne Effect,Countertransference
Sambo,Judo,Karate
Schumann,Liszt,Vivaldi
Macarons,Croissants,Eclairs
The Adventures of Tom Sawyer,Adventures of Huckleberry Finn,Pride and Prejudice
Petrarch,Dante,Shakespeare
Hector Salamanca,Tio Salamanca,Don Hector
Stephen King,J.K. Rowling,Gabriel García Márquez
The Olive Branch Petition,The Declaration of Causes,The Tennis Court Oath
Climate,Weather,Atmosphere
El Nino,La Nina,Polar Vortex
Venus,Mars,Mercury
Marcus Samuelsson,Carla Hall,René Redzepi
Hoplite,Phalanx,Legionnaire
Vikings,Normans,Celts
Cotton Gin,Power Loom,Bessemer Process
Passeig de Gràcia,Avenue Montaigne,Michigan Avenue
Frontal Lobe,Temporal Lobe,Cerebellum
San Antonio Spurs,Miami Heat,LA Lakers
King Louis XVI,Czar Nicholas II,Mahatma Gandhi
Socrates,Plato,Cicero
Pteranodon,Quetzalcoatlus,Cave lion skull
Parakeet,Budgie,Penguin
Black Forest Cake,German Chocolate Cake,Cannoli
Queen Elizabeth I,Queen Elizabeth II,Mao Zedong
The Creation of Adam,The Last Judgement,The Night Watch
A Boogie wit da Hoodie,Kodak Black,Pitbull
Archduke Franz Ferdinand,Gavrilo Princip,Adolf Hitler
Allosaurus,Carnotaurus,Giant ground sloth claw
Riyadh,Abu Dhabi,Tehran
Casu Marzu (Maggot Cheese),Hakarl (Fermented Shark),Truffle
Espresso,Latte,Soda
Spitfire,Messerschmitt,Concorde
Estates-General,National Assembly,The Tennis Court Oath
The Buckingham Palace,The Tower Bridge,The Brandenburg Gate
Gymnastic Ring,Gymnastic Bar,Gymnastic Chalk
Batting Average,ERA (Earned Run Average),Baseball Bat
Stars,Wild,Senators
Bing Cherry,Lapins Cherry,Yellow Lemon
TIE Fighter,X-Wing,Star Destroyer
Reverend Lovejoy,Ned Flanders,Homer Simpson
Eureka Lemon,Meyer Lemon,Black Cherry
Balut (Duck Embryo),Century Egg (Preserved Egg),Quail Eggs
Bessemer Process,Open Hearth Furnace,Steamboat
Brasilia,Buenos Aires,Santiago
Lando Calrissian,Han Solo,Poe Dameron
Black Bolt,Banshee,Daredevil
The Pantheon,The Roman Forum,The Giza Necropolis
Cirrus Cloud,Cumulus Cloud,Tornado
Kofi Annan,Henry Kissinger,Toni Morrison
Weather Balloon,Weather Satellite,Weather Vane
Red Wings,Capitals,Canucks
Keitt Mango,Ataulfo Mango,Red Plum
Blanching,Steaming,Roasting
Cersei Lannister,Tyrion Lannister,Bran Stark
The White Tree,The Party Tree,The Old Man Willow
Chewbacca,Wicket W. Warrick,Jar Jar Binks
Atacama Desert,Sahara Desert,Galapagos Islands
Sewing Machine,Cotton Gin,Steam Engine
Minnesota Timberwolves,Memphis Grizzlies,LA Lakers
Hagar the Horrible,B.C.,Blondie
Cotton Gin,Spinning Jenny,Telegraph
Lori Grimes,Judith Grimes,Beth Greene
The Scarlet Letter,Moby Dick,War and Peace
The Great Sphinx of Giza,The Lion Man,The Last Supper
Sewing Machine,Telephone,Steam Engine
Jimmy Carter,Gerald Ford,George H. W. Bush
Anne Frank,Elie Wiesel,Mark Twain
Rosalind Franklin,Marie Curie,Vera Rubin
Bay of Pigs Invasion,Cuban Missile Crisis,Sputnik Launch
Leo Tolstoy,Fyodor Dostoevsky,Franz Kafka
Millennium Falcon,X-Wing,Death Star
The Last Supper,Mona Lisa,The Scream
Ross Geller,Rachel Green,Mike Hannigan
Honeydew Melon,Cantaloupe Melon,Pineapple
Lungs,Heart,Brain
Red Scare,McCarthyism,Sputnik Launch
The Vitruvian Man,David,The Scream
Chopin,Schubert,Handel
Badminton,Squash,Shooting
Manganese,Technetium,Iron
The Grapes of Wrath,Of Mice and Men,Pride and Prejudice
Olympic Games,Pythian Games,Roman Games
Yellowstone National Park,Yosemite National Park,Great Blue Hole
Southern Ocean,Atlantic Ocean,Caribbean Sea
Julius Caesar,Augustus,George Washington
Irene Adler,Mary Morstan,Inspector Lestrade
The Mandalorian,WandaVision,The Big Bang Theory
Indian Ocean,Arctic Ocean,Gulf of Mexico
