Henry IV,Henry V,Twelfth Night
Mugger Crocodile,Siamese Crocodile,Broad-snouted Caiman
Red-tailed Hawk,Sharp-shinned Hawk,Northern Goshawk
Northern Harrier,Sharp-shinned Hawk,Swainson's Hawk
The Epic of Gilgamesh,The Aeneid,Paradise Lost
Panamanian Golden Frog,Strawberry Poison Dart Frog,African Clawed Frog
Death Adder,Inland Taipan,Green Tree Python
The Wheel of Time,Lord of the Rings,Dune
The Mahabharata,The Ramayana,The Divine Comedy
Polar Bear,Brown Bear,Koala
Diogenes,Democritus,Socrates
White-bellied Sea Eagle,African Fish Eagle,Bald Eagle
Twelfth Night,As You Like It,The Winter's Tale
Paradise Lost,The Kalevala,The Song of Roland
Lion Pride,Lion Pack,Lion Statue
Serena Williams,Venus Williams,Mia Hamm
Dwarf Crocodile,Saltwater Crocodile,Indian Gharial
Sarah Millican,John Bishop,Jim Jefferies
Jimmy Carr,Frankie Boyle,Daniel Tosh
Saturday Night Live,The Tonight Show,The Bachelor
Bald Eagle,Golden Eagle,Philippine Eagle
Peregrine Falcon,Saker Falcon,Bald Eagle
Kemp's Ridley Turtle,Olive Ridley Turtle,Red-Eared Slider
Slide Film,Negative Film,Instant Film
Frozen,Tangled,The Dark Knight
Venus,Earth,Jupiter
Red-tailed Hawk,Gray Hawk,Zone-tailed Hawk
Cygnus,Lyra,Andromeda
Monty Python's Flying Circus,Fawlty Towers,Downton Abbey
Goliath Frog,Pixie Frog,European Tree Frog
Lesser Sooty Owl,Greater Sooty Owl,Tawny Frogmouth
Spotted Turtle,Diamondback Terrapin,Aldabra Giant Tortoise
Porcelain Figurine,Glass Paperweight,Crystal Vase
Caspian Tiger,Siberian Tiger,Tiger Eye Gemstone
Marc Maron,Adam Sandler,George Lopez
Grizzly Bear,Brown Bear,Panda Bear
Mike Tyson,Muhammad Ali,David Beckham
Loggerhead Turtle,Leatherback Turtle,Desert Tortoise
Lanner Falcon,Peregrine Falcon,Red-Tailed Hawk
Bushmaster,Fer-de-lance,Python
Bee Pollen,Royal Jelly,Moringa
Photo Printer,Ink Cartridges,Scanner
Freshwater Crocodile,Orinoco Crocodile,Broad-snouted Caiman
Gyrfalcon,Peregrine Falcon,Bald Eagle
Northern Harrier,White-tailed Hawk,Ferruginous Hawk
Dolphin Skin,Dolphin Blubber,Dolphin Scales
The Song of Roland,The Nibelungenlied,The Kalevala
Saw-scaled Viper,Russell's Viper,Boa Constrictor
1968 Ford Mustang GT,1968 Dodge Charger R/T,1968 Chevrolet Camaro SS
Peregrine Falcon,Kestrel,Osprey
