Apple,Orange,Banana
Elephant,Giraffe,Whale
Car,Bike,Airplane
Gold,Silver,Cotton
Football,Basketball,Chess
Rose,Tulip,Fern
Book,Newspaper,TV
Cat,Dog,Fish
Rock,Hip-hop,Jazz
Pants,Shirt,Shoes
Turkey,Chicken,Beef
Hat,Gloves,Cane
Sun,Moon,Star
Wheat,Rice,Potato
Sugar,Salt,Pepper
Pen,Pencil,Ruler
Sailboat,Rowboat,Motorcycle
Table,Chair,Umbrella
Diamond,Ruby,Rock
Easel,Paintbrush,Computer
Drum,Flute,Keyboard
Coffee,Tea,Milk
Knife,Fork,Spoon
Bee,Wasp,Butterfly
Socks,Shoes,Hat
Fork,Spoon,Cup
Notebook,Journal,Lamp
Turnip,Carrot,Potato
Butter,Cheese,Sugar
Bottle,Can,Bag
River,Lake,Mountain
Bus,Train,Plane
Dollar,Euro,Yen
Eagle,Hawk,Penguin
Grapes,Banana,Apple
Oven,Microwave,Fridge
Library,Bookstore,Museum
Painting,Sculpture,Song
Shirt,Pants,Tie
Wallet,Bag,Belt
School,Hospital,Fire station
Cup,Saucer,Plate
Skirt,Dress,Gloves
Dolphin,Whale,Shark
Peach,Plum,Watermelon
Lizard,Snake,Turtle
Tractor,Truck,Motorcycle
Cellphone,Laptop,Watch
Sofa,Bed,Lamp
Scissors,Knife,Spoon
Hamster,Rabbit,Cat
Mango,Peach,Apple
Tarantula,Scorpion,Ant
Cheetah,Leopard,Tiger
Oak,Maple,Pine
Salmon,Trout,Catfish
Rattlesnake,Cobra,Python
Harp,Guitar,Violin
Eagle,Hawk,Penguin
Butterfly,Moth,Bee
Daisy,Sunflower,Rose
Pine,Spruce,Oak
Tulip,Daffodil,Orchid
Shark,Dolphin,Whale
Lion,Tiger,Cheetah
Potato,Tomato,Carrot
Frog,Toad,Lizard
Whale,Dolphin,Shark
Almond,Peanut,Walnut
Rabbit,Hare,Squirrel
Copper,Silver,Gold
Pineapple,Cactus,Rose
Lime,Lemon,Orange
Gorilla,Orangutan,Monkey
Strawberry,Raspberry,Blueberry
Coyote,Wolf,Fox
Dolphin,Shark,Tuna
Whale,Bat,Falcon
Diamond,Graphite,Sapphire
Wheat,Barley,Rice
Crocodile,Alligator,Lizard
Quartz,Feldspar,Granite
Jupiter,Saturn,Mercury
Frog,Toad,Turtle
Maple,Oak,Pine
Cheetah,Jaguar,Lion
Gold,Copper,Aluminum
Ruby,Garnet,Emerald
Penguin,Ostrich,Hawk
Python,Anaconda,Cobra
Silk,Wool,Cotton
Iron,Cobalt,Nickel
Raven,Crow,Sparrow
Birch,Spruce,Cedar
Coral,Jellyfish,Shrimp
Mule,Hinny,Horse
Albatross,Seagull,Pigeon
Marble,Limestone,Basalt
Teak,Mahogany,Birch
Barracuda,Pike,Salmon
Sunflower,Daisy,Tulip
Rye,Wheat,Oats
Elk,Moose,Deer
Platinum,Palladium,Silver
Hummingbird,Hawkmoth,Butterfly
Birch,Aspen,Cedar
Angelfish,Goldfish,Guppy
Dandelion,Sunflower,Rose
Lemur,Monkey,Ape
Lobster,Crab,Shrimp
Peacock,Ostrich,Eagle
Lavender,Rosemary,Basil
Porcupine,Hedgehog,Beaver
Moth,Butterfly,Bee
Iguana,Chameleon,Snake
Basilisk,Gecko,Salamander
Tarantula,Black Widow,Scorpion
Albatross,Seagull,Penguin
Barracuda,Eel,Dolphin
Squid,Octopus,Crab
Kiwi,Emu,Parrot
Amethyst,Citrine,Ruby
Bison,Buffalo,Antelope
Chimpanzee,Gorilla,Orangutan
Maple,Birch,Palm
Leek,Shallot,Carrot
Heron,Goose,Eagle
Viola,Double Bass,Flute
Tram,Subway,Balloon
Saturn,Jupiter,Venus
Battleship,Risk,Skip-Bo
Crayon,Pastel,Glue
Latte,Mocha,Iced Tea
Orchid,Lily,Moss
Hamster,Mouse,Canary
Wardrobe,Cupboard,Rug
Ladle,Skimmer,Peeler
Tablet,Smartwatch,Toaster
Frost,Dew,Wind
Coat,Hoodie,Gloves
Eggplant,Bell Pepper,Garlic
Rhodium,Iridium,Zinc
Osprey,Condor,Peacock
Yogurt,Sour Cream,Jam
Maple,Birch,Palm
Leek,Shallot,Beetroot
Pelican,Seagull,Eagle
Viola,Double Bass,Flute
Tram,Trolley,Plane
Jupiter,Saturn,Venus
Battleship,Risk,Solitaire
Crayon,Pastel,Ruler
Latte,Mocha,Soda
Lily,Orchid,Moss
Hamster,Gerbil,Canary
Wardrobe,Cupboard,Clock
Ladle,Skimmer,Peeler
Tablet,E-reader,Toaster
Frost,Dew,Wind
Coat,Hoodie,Gloves
Eggplant,Bell Pepper,Radish
Rhodium,Ruthenium,Zinc
Owl,Falcon,Peacock
Yogurt,Sour Cream,Jam
Maple,Birch,Palm
Leek,Shallot,Carrot
Heron,Stork,Eagle
Viola,Double Bass,Flute
Tram,Trolley,Jet Ski
Saturn,Jupiter,Pluto
Battleship,Risk,Solitaire
Crayon,Pastel,Ruler
Latte,Americano,Hot Chocolate
Carnation,Marigold,Ivy
Hamster,Mouse,Canary
Wardrobe,Cupboard,Rug
Ladle,Skimmer,Peeler
Tablet,Smartwatch,Toaster
Frost,Ice,Mist
Vest,Cardigan,Glove
Eggplant,Bell Pepper,Garlic
Rhodium,Iridium,Zinc
Owl,Hawk,Kiwi
Yogurt,Sour Cream,Jam
