obj_name,img_link,obj_image_name,obj_name_alt,obj_name_ext
Han Solo,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/38f15b69-29e7-41fe-747d-886e37b7b100/public,han_solo,Image of han_solo,han_solo.png
The Statue of Zeus at Olympia,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/dcdfb539-2017-4df7-5218-5aeb94a12100/public,the_statue_of_zeus_at_olympia,Image of the_statue_of_zeus_at_olympia,the_statue_of_zeus_at_olympia.png
Killer Frost,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/6409822d-6fb9-45b8-613f-a976176d5a00/public,killer_frost,Image of killer_frost,killer_frost.png
Beryllium,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3b998505-e298-49c7-9fb9-da21c2669300/public,beryllium,Image of beryllium,beryllium.png
Hannibal,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a8748b11-ada7-44bd-95c5-5b2218204300/public,hannibal,Image of hannibal,hannibal.webp
Insect,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/0c76cc24-5a6c-4db0-d156-c60fdda41700/public,insect,Image of insect,insect.png
Beef Bourguignon,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/d463f647-09d2-483a-e2a5-66ed3924dd00/public,beef_bourguignon,Image of beef_bourguignon,beef_bourguignon.png
Fred Flintstone,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/db6be841-f2fa-4513-b77f-2269864e0400/public,fred_flintstone,Image of fred_flintstone,fred_flintstone.webp
Claude Monet,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/7755bdad-c4fa-4388-a9d6-6a7dda229600/public,claude_monet,Image of claude_monet,claude_monet.png
Comet,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/fe35ce6d-7093-491b-19e3-476821cfaa00/public,comet,Image of comet,comet.png
Hermione Granger,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/9b094787-20f5-429b-9ab8-32085b1bc000/public,hermione_granger,Image of hermione_granger,hermione_granger.webp
Paris,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/98956a26-abfb-42e7-bb22-aea544e6e000/public,paris,Image of paris,paris.png
Wonder Woman,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c8631443-ac3b-41f0-7dd5-de9e20178600/public,wonder_woman,Image of wonder_woman,wonder_woman.png
Barometer,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/aac27473-1c98-4cf4-e63a-ace6af550800/public,barometer,Image of barometer,barometer.png
John Constable,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/10db6a9b-7a13-42f0-32aa-40288bc0d800/public,john_constable,Image of john_constable,john_constable.png
Pico della Mirandola,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/05ed7fee-f593-4725-51f3-729703ba3700/public,pico_della_mirandola,Image of pico_della_mirandola,pico_della_mirandola.png
Basalt,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/474dba4e-ab57-460d-dbda-dd8874b74500/public,basalt,Image of basalt,basalt.png
Rose,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/88e0a118-0891-400a-76a3-540bbe72c100/public,rose,Image of rose,rose.png
Forum,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3ceda78c-6705-4ddf-603c-f20118398500/public,forum,Image of forum,forum.png
The Statue of Liberty,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/0b488ea2-b066-41bf-b787-3b5aad05cb00/public,the_statue_of_liberty,Image of the_statue_of_liberty,the_statue_of_liberty.png
Neon,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/eb478452-9654-4f6b-4a47-8bb7bc684000/public,neon,Image of neon,neon.png
The Flash,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/90319fb6-4c69-405d-8003-104a22616800/public,the_flash,Image of the_flash,the_flash.png
Blacksmith,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/9a35ec6a-1294-42e6-9bfc-41dc699cc500/public,blacksmith,Image of blacksmith,blacksmith.png
Thomas Edison,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/18f45624-6b4a-450c-39f9-e51073dc6100/public,thomas_edison,Image of thomas_edison,thomas_edison.png
Salvador Dali,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/0a18ca4e-cdda-408e-1546-d209b5644600/public,salvador_dali,Image of salvador_dali,salvador_dali.png
Oak,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/11bc6439-cdc2-48a5-4b3a-bb7d0ba0b100/public,oak,Image of oak,oak.png
Fennel,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f989f6d7-598d-403b-7981-1258d3935900/public,fennel,Image of fennel,fennel.png
Joseph Haydn,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8eb59936-7299-47b7-c7c1-af948c76cc00/public,joseph_haydn,Image of joseph_haydn,joseph_haydn.webp
Haydn,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8eb59936-7299-47b7-c7c1-af948c76cc00/public,joseph_haydn,Image of joseph_haydn,joseph_haydn.webp
Blini,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/3e00105f-de1e-4136-59f7-b20dba3e5e00/public,blini,Image of blini,blini.png
