"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Roman Law","Twelve Tables","Code of Hammurabi","Magna Carta","Magna Carta","The others are ancient legal codes."
"R.E.M., The Pixies, The Eagles, Bob Dylan, Bob Dylan, The others are bands.",,,,,
"Carl Sagan","Neil deGrasse Tyson","Richard Dawkins","Elon Musk","Elon Musk","The others are astronomers."
"Pulsar, Quasar, Black Hole, Neutron Star, Neutron Star, The others are sources of strong radio waves.",,,,,
"New York Knicks, Brooklyn Nets, LA Clippers, Golden State Warriors, Golden State Warriors, The others are based in cities that are homes to MLB teams named after a type of socks (New York Yankees, Brooklyn Dodgers, LA Dodgers).",,,,,
"The Sopranos","Mad Men","Parks and Recreation","Breaking Bad","Breaking Bad","The others are set in the East Coast"
"Petrarch","Dante","Shakespeare","Homer","Homer","The others are Renaissance writers"
"Paul Samuelson","John Nash","Albert Camus","Friedrich Hayek","Albert Camus","The others are Nobel laureates in Economics"
"obj_3: Vulture",,,,,
"obj_4: Bat",,,,,
"odd: Bat",,,,,
"reason_for_similarity: The others are birds.",,,,,
"Vesta","Vestal Virgins","Amazon Warriors","Mars","Amazon Warriors","The others are associated with Roman mythology"
"Albert Szent-Gyorgyi","Linus Pauling","Martin Luther King Jr","Marie Curie","Martin Luther King Jr","The others are Nobel Laureates in the field of Chemistry."
"Sons of Liberty","Daughters of Liberty","Jacobins","Bolsheviks","Bolsheviks","The others are American Revolutionary groups"
"Chris Hemsworth","Tom Hiddleston","Chris Evans","Robert Downey Jr.","Robert Downey Jr.","The others are named Chris."
"The One, The Chosen One, The Many, The None, The Many, The others are related to 'One'",,,,,
"Starfire","Martian Manhunter","Black Panther","Spider-Man","Spider-Man","The others are from DC"
"Taekwondo","Karate","Brazilian Jiu Jitsu","Fencing","Fencing","The others are martial arts originated from Asia."
"Southern Ocean","Coral Sea","Indian Ocean","Caspian Sea","Caspian Sea","The others are Oceans"
"Cardamom","Clove","Oregano","Tomato","Tomato","The others are spices"
