"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"---","---","---","---","---","---"
"Tulip","Daffodil","Hyacinth","Sage","Sage","The others are bulb flowers"
"Violet","Pansy","Petunia","Spinach","Spinach","The others are flowering plants"
"Orchid","Lilly","Iris","Fennel","Fennel","The others are ornamental plants"
"Sunflower","Zinnia","Marigold","Onion","Onion","The others are sun-loving plants"
"Hibiscus","Rose","Camellia","Okra","Okra","The others are shrub-like plants"
"Daisy","Chrysanthemum","Gerbera","Celery","Celery","The others are popular cut flowers"
"Crocus","Saffron","Colchicum","Potato","Potato","The others are iris family plants"
"Lily","Calla","Gloriosa","Garlic","Garlic","The others are lily-like flowers"
"Poppy","Cornflower","Forget-me-not","Rhubarb","Rhubarb","The others are delicate flowers"
"Carnation","Chrysanthemum","Peony","Beetroot","Beetroot","The others are long-lasting flowers"
"Orchid","Bromeliad","Air Plant","Oregano","Oregano","The others are epiphytes"
"Sweetpea","Lupin","Wisteria","Carrot","Carrot","The others are fragrant flowers"
"Azalea","Rhododendron","Bluebell","Asparagus","Asparagus","The others are woodland flowers"
"Freesia","Gladiolus","Ixia","Parsnip","Parsnip","The others are cormous flowers"
"Cattleya","Paphiopedilum","Phalaenopsis","Ginger","Ginger","The others areorchids"
"Geranium","Pelargonium","Begonia","Radish","Radish","The others are ornamental plants"
"Hydrangea","Weigela","Spirea","Horseradish","Horseradish","The others are shrub-like plants"
"Lantana","Verbena","Zinnia","Radicchio","Radicchio","The others are low-maintenance plants"
"Dahlia","Chrysanthemum","Marigold","Artichoke","Artichoke","The others are showy flowers"
"Petunia","Begonia","Geranium","Beet","Beet","The others are annual flowers"
"Snapdragon","Larkspur","Nasturtium","Ginger","Ginger","The others are tall flowers"
"Peony","Hibiscus","Rose","Turmeric","Turmeric","The others are large flowers"
"Phlox","Larkspur","Delphinium","Cabbage","Cabbage","The others are tall garden flowers"
"Anemone","Pansy","Violet","Caraway","Caraway","The others are delicate flowers"
"Sunflower","Marigold","Zinnia","Potato","Potato","The others are sun-loving plants"
"Cyclamen","Fuchsia","Begonia","Sweet Potato","Sweet Potato","The others are ornamental plants"
"Daffodil","Tulip","Crocus","Garlic","Garlic","The others are spring-blooming flowers"
"Camellia","Gardenia","Azalea","Leek","Leek","The others are evergreen shrubs"
"Chrysanthemum","Aster","Zinnia","Rhutabaga","Rhutabaga","The others are fall-blooming flowers"
"---","---","---","---","---","---"
"Oak","Beech","Ash","Fern","Fern","The others are deciduous trees"
"Pine","Spruce","Fir","Cherry","Cherry","The others are coniferous trees"
