obj_1,obj_2,obj_3,obj_4,odd,reason_for_similarity
obj_2,obj_4,obj_1,obj_3,odd,reason_for_similarity
-------------,-------------,-------------,-------------,-----------,--------------------------------
Wheat,Barley,Rice,Rye,Rice,The others are cereals
Potato,Eggplant,Carrot,Tomato,Carrot,The others are nightshades
Lemon,Grapefruit,Apple,Orange,Apple,The others are citrus fruits
Maize,Sorghum,Millet,Oats,Oats,The others are grains
Broccoli,Spinach,Cauliflower,Cabbage,Spinach,The others are brassicas
Soybean,Lentil,Chickpea,Peanut,Peanut,The others are legumes
Banana,Mango,Papaya,Pineapple,Banana,The others are tropical fruits
Turnip,Garlic,Onion,Leek,Turnip,The others are alliums
Sugarcane,Hemp,Flax,Cotton,Sugarcane,The others are fiber crops
Lima Bean,Green Bean,Sweetcorn,Pea,Sweetcorn,The others are legumes
Pomegranate,Fig,Date,Grape,Grape,The others are Mediterranean fruits
Walnut,Cashew,Almond,Sunflower,Sunflower,The others are tree nuts
Raspberry,Strawberry,Blueberry,Kiwi,Kiwi,The others are berries
Vanilla,Tea,Cocoa,Coffee,Vanilla,The others are beverages crops
Kale,Radish,Spinach,Lettuce,Radish,The others are leafy greens
Olive,Avocado,Coconut,Pistachio,Pistachio,The others are drupes
Radish,Parsnip,Carrot,Beet,Beet,The others are root vegetables
Pumpkin,Squash,Cucumber,Watermelon,Watermelon,The others are gourds
Chickpea,Lentil,Soybean,Pea,Soybean,The others are pulses
Blackberry,Raspberry,Cranberry,Mulberry,Cranberry,The others are caneberries
Ginger,Vanilla,Clove,Saffron,Ginger,The others are spices
Barley,Quinoa,Rice,Wheat,Quinoa,The others are grasses
Coconut,Cashew,Almond,Brazil Nut,Coconut,The others are tree nuts
Guava,Mango,Pineapple,Papaya,Pineapple,The others are tropical fruits
Sweet Potato,Yam,Carrot,Potato,Carrot,The others are tubers
Peach,Plum,Apricot,Apple,Apple,The others are stone fruits
Sesame,Chia,Flax,Hemp,Sesame,The others are seeds
Jackfruit,Mango,Lychee,Durian,Lychee,The others are tropical fruits
Cucumber,Squash,Zucchini,Melon,Melon,The others are cucurbits
Basil,Spinach,Thyme,Oregano,Spinach,The others are herbs
,,,I hope you find this helpful for your game development!,,
