obj_name,obj_image_name,obj_name_alt,obj_name_ext,img_link
Anakin Skywalker,anakin_skywalker,Image of anakin_skywalker,anakin_skywalker.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1d038653-8fbd-432b-7448-31e0e5c2bf00/public
Albatross,albatross,Image of albatross,albatross.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a0fa86a9-6731-45f1-b39a-120448d83100/public
The Statue of Zeus at Olympia,the_statue_of_zeus_at_olympia,Image of the_statue_of_zeus_at_olympia,the_statue_of_zeus_at_olympia.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/70c5dbc2-593b-46d0-1e7e-0bf075e65900/public
Appomattox Court House,appomattox_court_house,Image of appomattox_court_house,appomattox_court_house.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4a8b3b52-a3f1-4615-4950-7d5c3c220800/public
WWI,wwi,Image of wwi,wwi.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/41b703f7-89e3-4201-413b-c2f40cabc900/public
Charles Darwin,charles_darwin,Image of charles_darwin,charles_darwin.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/1b9bcb96-0c4d-408d-2420-d797ea2fc700/public
Killer Frost,killer_frost,Image of killer_frost,killer_frost.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/83952460-3672-479f-120b-dbb7da0fef00/public
The Mazarin Stone,the_mazarin_stone,Image of the_mazarin_stone,the_mazarin_stone.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/50d37399-9129-4bfe-3935-b7c9452ed900/public
Ancient Greece,ancient_greece,Image of ancient_greece,ancient_greece.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/4da9ef05-77b3-42e1-cf8e-ae58dee7b000/public
Dadaism,dadaism,Image of dadaism,dadaism.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/633e698d-db38-41da-2c67-6693b41a5c00/public
First Baseman's Mitt,first_baseman_s_mitt,Image of first_baseman_s_mitt,first_baseman_s_mitt.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/607a209a-2da4-41e7-c2ea-78a61d057b00/public
Karl Marx,karl_marx,Image of karl_marx,karl_marx.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/ffedf4b9-3940-49a8-095e-e1420a25dd00/public
Mexican Cuisine,mexican_cuisine,Image of mexican_cuisine,mexican_cuisine.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2f81ccc8-1ae1-494c-dd77-0c9c7c497b00/public
The Grand Canyon,the_grand_canyon,Image of the_grand_canyon,the_grand_canyon.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/28ffbf2a-e57a-4add-ad18-51180727d800/public
Stephen Hawking,stephen_hawking,Image of stephen_hawking,stephen_hawking.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a0365741-c7f9-4d16-6419-7733b58bf000/public
Magnetic Field,magnetic_field,Image of magnetic_field,magnetic_field.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/809d8f8c-0175-4a01-aa72-5381b7c17100/public
Sodium,sodium,Image of sodium,sodium.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/d188f85c-0956-4338-40a8-29ac2e78e800/public
Hannibal,hannibal,Image of hannibal,hannibal.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2cef36a3-283e-4144-287d-ce9ee4523000/public
Lake Victoria,lake_victoria,Image of lake_victoria,lake_victoria.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/521c8a4b-bfe7-4b9a-0f1f-8252694b3400/public
Cartouche,cartouche,Image of cartouche,cartouche.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f1ccac0b-243a-4906-87c9-4bf756290300/public
Captain America,captain_america,Image of captain_america,captain_america.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/e2d82f5b-0963-48b1-390d-894e2a8c4100/public
Botticelli,botticelli,Image of botticelli,botticelli.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/0f963c85-a4c1-4d77-ca53-9829b9811100/public
Beverly Crusher,beverly_crusher,Image of beverly_crusher,beverly_crusher.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/8374b4aa-4245-4b92-b9ef-affdae446900/public
Fish,fish,Image of fish,fish.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/028e1d10-5c00-4ff2-04b1-c4c144313100/public
Beale Street,beale_street,Image of beale_street,beale_street.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/c8e54801-584e-473a-dd6a-eb6d84195900/public
The Girl with a Pearl Earring,the_girl_with_a_pearl_earring,Image of the_girl_with_a_pearl_earring,the_girl_with_a_pearl_earring.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/a88a3e01-10af-44d4-e045-6fed0ece4200/public
Front,front,Image of front,front.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/f203c04d-85d4-44bd-997a-65e187676d00/public
The Mirror of Galadriel,the_mirror_of_galadriel,Image of the_mirror_of_galadriel,the_mirror_of_galadriel.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/29c67d6a-df70-46df-d44f-dc946cad1a00/public
Winston Churchill,winston_churchill,Image of winston_churchill,winston_churchill.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/2481e06c-b049-490a-62f9-42c5cd3d1e00/public
Beef Bourguignon,beef_bourguignon,Image of beef_bourguignon,beef_bourguignon.png,https://imagedelivery.net/CSGzrEc723GAS-rv6GanQw/054367c1-e0f2-45b3-99b8-d5c6882b3400/public
