obj_1,obj_2,obj_3,odd,reason_for_similarity
Anakin Skywalker,Luke Skywalker,Han Solo,Han Solo,Luke and Anakin are both Jedi
Albatross,Thrush,Blackbird,Albatross,Thrush and Blackbird are both songbirds
The Statue of Zeus at Olympia,The Colossus of Rhodes,The Terracotta Army,The Colossus of Rhodes,The first two are Chinese sculptures
Appomattox Court House,Buckingham Palace,Ford's Theatre,Buckingham Palace,The first two are sites related to significant events of the American Civil War
WWI,Cold War,WWII,Cold War,WWI and WWII were global conflicts involving many nations
Charles Darwin,Pope Urban II,Pope John Paul II,Charles Darwin,Urban II and John Paul II were both Popes
Killer Frost,Cheetah,The Atom,The Atom,Killer Frost and Cheetah are female villains
The Mazarin Stone,The Blanched Soldier,The Illustrious Client,The Blanched Soldier,The Illustrious Client and The Mazarin Stone involve stolen artifacts (Sherlock Holmes)
Ancient Greece,Ancient Rome,Ancient China,Ancient China,Ancient Rome and Greece both used a form of script for writing
Dadaism,Surrealism,Industrial Revolution,Industrial Revolution,The first two are artistic movements
First Baseman's Mitt,Baseball,Catcher's Mitt,First Baseman's Mitt,Catcher's mitt and baseball are used to catch the ball
Karl Marx,Richard the Lionheart,Saladin,Karl Marx,Saladin and Richard were both involved in the Crusades
Mexican Cuisine,Indian Cuisine,Thai Cuisine,Mexican Cuisine,Thai and Indian cuisines sometimes use coconut milk
The Grand Canyon,The Forbidden City,The Potala Palace,The Grand Canyon,Both are in China
Stephen Hawking,Carl Sagan,Albert Einstein,Carl Sagan,Hawking and Einstein were theoretical physicists
Magnetic Field,Static Electricity,Current Electricity,Magnetic Field,Static and Current Electricity involve flow of electrons
Sodium,Lithium,Beryllium,Beryllium,Lithium and Sodium are both elements in Group 1 (Alkali Metals)
Hannibal,Lepidus,Marc Antony,Hannibal,"Marc Antony and Lepidus were part of the Second Triumvirate, Hannibal was a Carthaginian general"
Lake Victoria,Lake Tanganyika,Lake Superior,Lake Superior,Both Lake Victoria and Lake Tanganyika are lakes in Africa.
Cartouche,Hieroglyphics,Sphinx,Sphinx,Cartouche and Hieroglyphics are both related to ancient Egyptian writing.
Captain America,Iron Man,Bucky Barnes,Iron Man,Captain America and Bucky Barnes both fought in World War II
Botticelli,Michelangelo,Raphael,Botticelli,Michelangelo and Raphael were both primarily based in Rome.
Beverly Crusher,Deanna Troi,Worf,Worf,Deanna Troi and Beverly Crusher are both medical officers.
Fish,Insect,Bird,Insect,Birds and Fish are both Vertebrates
Beale Street,Rue du Faubourg Saint-Honoré,Avenue des Champs-Élysées,Beale Street,Rue du Faubourg Saint-Honoré and Avenue des Champs-Élysées are famous streets in Paris
The Girl with a Pearl Earring,Adoration of the Magi,Annunciation,The Girl with a Pearl Earring,Annunciation and Adoration of the Magi are both works by Leonardo da Vinci
Front,Jet Stream,Air Mass,Jet Stream,Both are meteorological boundaries
The Mirror of Galadriel,The Light of Earendil,The Horn of Gondor,The Horn of Gondor,The Mirror and The Light are used for guidance
Winston Churchill,Neville Chamberlain,Margaret Thatcher,Margaret Thatcher,First two were British Prime Ministers during WWII
Beef Bourguignon,Coq au Vin,Souvlaki,Souvlaki,Both are dishes that are traditionally braised in wine
The Twin Towers,The Petronas Towers,The Colosseum,The Colosseum,The others are twin towers
Felix Felicis,Polyjuice Potion,Veritaserum,Veritaserum,Polyjuice Potion and Felix Felicis change the drinker's state
Mozart,Liszt,Tchaikovsky,Mozart,Liszt and Tchaikovsky were both from the Romantic period
Pride and Prejudice,Lord of the Flies,The Catcher in the Rye,Pride and Prejudice,Lord of the Flies and The Catcher in the Rye are both about boys' struggles
The Creation of Adam,The Last Judgement,The Persistence of Memory,The Persistence of Memory,The Creation of Adam and The Last Judgement are both works by Michelangelo
Treaty of Versailles,Treaty of Tordesillas,Treaty of Brest-Litovsk,Treaty of Tordesillas,The two treaties ended World War I
Andes,Alps,Ural,Andes,Alps and Ural are in Eurasia
Bill of Rights,Declaration of Independence,Constitution,Declaration of Independence,Constitution and Bill of Rights are both part of the U.S. foundational legal documents
Henri Matisse,Kazimir Malevich,Piet Mondrian,Henri Matisse,Piet Mondrian and Kazimir Malevich were pioneers of geometric abstract art
Carpathian,Atlas,Great Dividing,Carpathian,Atlas and Great Dividing are in the Southern Hemisphere
Java,Sumatra,Borneo,Borneo,Sumatra and Java are both Indonesian Islands.
Hail,Snow,Rain,Rain,Both are solid forms of precipitation
Client-Centered Therapy,Self-Actualization,Cognitive Therapy,Self-Actualization,Cognitive Therapy and Client-Centered Therapy are types of psychological therapy
Mandalorian,Death Star,Starkiller Base,Mandalorian,Death Star and Starkiller Base are both superweapons
DNA,Protein,RNA,Protein,DNA and RNA are both types of Nucleic Acids
Swan,Eagle,Flamingo,Eagle,Flamingo and Swan both have long necks
LA Lakers,Detroit Pistons,Miami Heat,LA Lakers,Both teams won back-to-back NBA Championships
Savate,Jiu Jitsu,Boxing,Jiu Jitsu,Boxing and Savate are both Western martial arts
Andes,Sierra Nevada,Himalayas,Sierra Nevada,Andes and Himalayas have the highest peaks
Louis XIV,Henry VIII,George Washington,George Washington,Louis XIV and Henry VIII were both European monarchs
Gobi Desert,Rocky Mountains,Andes,Gobi Desert,Rocky Mountains and Andes are both mountain ranges
Roman Empire,Maurya Empire,Gupta Empire,Roman Empire,Maurya and Gupta Empires both originated in India
16th Street Baptist Church bombing,Watergate Scandal,Mississippi Burning,Watergate Scandal,16th Street Baptist Church bombing and Mississippi Burning were both acts of racial terrorism
Knight,Gladiator,Legionnaire,Knight,Gladiator and Legionnaire were types of Roman warriors
Madrid,Paris,Dublin,Dublin,Paris and Madrid are both capitals in countries where Romance languages are spoken.
Charlie Trotter,Wolfgang Puck,Alain Passard,Alain Passard,Charlie Trotter and Wolfgang Puck are both American chefs.
Roy Choi,Lidia Bastianich,David Chang,Lidia Bastianich,David Chang and Roy Choi both popularized Korean-American cuisine.
Monica Geller,Janice Litman,Ross Geller,Janice Litman,Ross and Monica are siblings
Phoenix Suns,Sacramento Kings,Utah Jazz,Utah Jazz,Both have never won an NBA Championship
Albert Einstein,Plato,Socrates,Albert Einstein,Socrates and Plato were both ancient Greek philosophers
The Penguin,Hawkgirl,Martian Manhunter,The Penguin,Martian Manhunter and Hawkgirl are from the Justice League
Thermometer,Anemometer,Barometer,Anemometer,Both measure atmospheric pressure
Ancient Babylon,Ancient Egypt,Ancient Sumer,Ancient Egypt,Ancient Sumer and Babylon both originated in Mesopotamia
Fighter Jets,Tanks,Submarines,Fighter Jets,Tanks and Submarines were introduced in World War I
Golden Snitch,Quaffle,Bludger,Golden Snitch,Quaffle and Bludger are used by multiple players in Quidditch
Q,Guinan,Wesley Crusher,Wesley Crusher,Q and Guinan are both non-human entities with unique abilities.
Rational Emotive Behavior Therapy,Gestalt Therapy,Humanistic Psychology,Rational Emotive Behavior Therapy,Gestalt Therapy and Humanistic Psychology are person-centered therapies
A1A Car Wash,Los Pollos Hermanos,Gray Matter Technologies,Gray Matter Technologies,A1A Car Wash and Los Pollos Hermanos are businesses involved in money laundering
Civil Constitution of the Clergy,Edict of Nantes,Concordat of 1801,Edict of Nantes,Civil Constitution of the Clergy and Concordat of 1801 were both laws affecting the French Catholic Church
James Whistler,JMW Turner,John Constable,James Whistler,JMW Turner and John Constable were English landscape painters
Lady A,Rascal Flatts,Maroon 5,Maroon 5,Rascal Flatts and Lady A are both country music groups
The Lord of the Rings,Angels & Demons,The Da Vinci Code,The Lord of the Rings,The Da Vinci Code and Angels & Demons are both written by Dan Brown
Spanish Cuisine,Mexican Cuisine,German Cuisine,German Cuisine,Spanish and Mexican cuisines both use a lot of tomatoes and peppers
Gymnastic Rope,Gymnastic Vault,Gymnastic Hoop,Gymnastic Vault,Hoop and Rope are rhythmic gymnastics props
Marsilio Ficino,Pico della Mirandola,John Locke,John Locke,Pico della Mirandola and Marsilio Ficino are both philosophers from the Renaissance period
Granite,Shale,Mudstone,Granite,Shale and Mudstone are fine-grained rocks.
Spruce,Elm,Ash,Spruce,Elm and Ash are both susceptible to Dutch disease
100m Sprint,Marathon,High Jump,High Jump,100m Sprint and Marathon are both running events
Brad Pitt,Jack Nicholson,Morgan Freeman,Brad Pitt,Morgan Freeman and Jack Nicholson both won the Best Actor Oscar in the 90s.
Parks and Recreation,The Office,Breaking Bad,Breaking Bad,The Office and Parks and Recreation are mockumentaries
Ural,Alps,Appalachian,Appalachian,Alps and Ural are in Eurasia
Cognitive Dissonance,Schizophrenia,Bipolar Disorder,Cognitive Dissonance,Schizophrenia and Bipolar Disorder are types of mental disorders
Atlas,Ural,Andes,Atlas,Ural and Andes are on the mainland
Slate,Quartzite,Schist,Quartzite,Slate and Schist are metamorphic rocks.
The Parthenon,The Acropolis,The Empire State Building,The Empire State Building,The others are ancient Greek structures
Cayenne,Paprika,Saffron,Saffron,Paprika and Cayenne are types of chili peppers.
Via Montenapoleone,The Strip,Bond Street,The Strip,Bond Street and Via Montenapoleone are known for luxury shopping
Peppermint,Spearmint,Curry Powder,Curry Powder,Peppermint and Spearmint are both types of mint.
Barometric Pressure,Wind Speed,Atmospheric Pressure,Wind Speed,Both are measures of pressure
Agora,Symposium,Forum,Forum,Both are social gatherings/places in ancient Greece
J.D. Salinger,Charles Dickens,Jane Austen,J.D. Salinger,Charles Dickens and Jane Austen were 19th century authors
Sonoran,Mojave,Kalahari,Kalahari,Both Sonoran and Mojave have the presence of Joshua trees
Orlando Magic,San Antonio Spurs,Charlotte Hornets,San Antonio Spurs,Both are based in the Southeast Division
The Dreadnought,The Lusitania,The Titanic,The Titanic,The Lusitania and The Dreadnought were involved in World War I
Nightwing,Deathstroke,Red Hood,Deathstroke,Nightwing and Red Hood are former Robins
Nefertiti,Tutankhamun,Great Pyramid of Giza,Great Pyramid of Giza,Nefertiti and Tutankhamun are both famous ancient Egyptian individuals.
Minnesota Vikings,New Orleans Saints,Atlanta Falcons,Minnesota Vikings,Both are bird-themed teams.
Sulfur,Oxygen,Selenium,Selenium,Oxygen and Sulfur are both elements in Group 16 (Chalcogens)
Greek Cuisine,Japanese Cuisine,Lebanese Cuisine,Japanese Cuisine,Lebanese and Greek cuisines both use a lot of olive oil
Parsley,Star Anise,Dill,Star Anise,Parsley and Dill are often used in salads.
Mars,Venus,Thor,Thor,Venus and Mars are Roman gods
The Hagia Sophia,The Blue Mosque,The Niagara Falls,The Niagara Falls,Both are in Istanbul
Two-Face,The Riddler,Green Arrow,Green Arrow,Two-Face and The Riddler are villains
Meteor,Comet,Asteroid,Comet,Asteroids and Meteors are mainly composed of rock
Ministry of Magic,Gringotts,Azkaban,Azkaban,Ministry of Magic and Gringotts are located in London
Baker,Farrier,Blacksmith,Baker,Blacksmith and Farrier both work with metal
Isaac Newton,Charlemagne,King Arthur,Isaac Newton,Arthur and Charlemagne were both legendary kings
Karl Marx,Friedrich Engels,William Shakespeare,William Shakespeare,Marx and Engels were both authors of The Communist Manifesto
Mushu,Mulan,Belle,Belle,Mulan and Mushu are from the same movie.
Diplodocus,Triceratops,Mammuthus,Mammuthus,Triceratops and Diplodocus are both dinosaurs
Samurai,Praetorian,Centurion,Samurai,Centurion and Praetorian are ranks in Roman military
Binary Tree,Linked List,Hash Table,Hash Table,Binary Tree and Linked List are both linear data structures
The Charles Bridge,The Millau Viaduct,The Vasco da Gama Bridge,The Charles Bridge,The other two are the tallest of their type
Genghis Khan,Abraham Lincoln,Alexander the Great,Abraham Lincoln,Alexander and Genghis were conquerors
